NEWID	SPECIMEN_ID	COLLECTOR	NUMBER	ADDCOLL_LABEL	HERBARIOS	COLLDD	COLLMM	COLLYY	LABEL_NAME	NOME	GENUS	SP1	ESPECIE_ARTIGO	DETBY	DETMONTH	DETYEAR	OLDDETS	TAXON_NOTES	VERNACULAR	CLADO	ITS_TIP	CPDNA_TIP	NOTA_DE_HABITAT	NOTA_DE_SOLO	HABITOSTD	PLANT_DAP_CM	PLANT_HEIGHT_M	FERT	LABEL_NOTES	ALTITUDE_EST	ALTI_RANGE	LATITUDE	LONGITUDE	COORD_REF	COUNTRY	PROVINCE	MUNICIPIO	MINORAREA	NOTAS_LOCALIDADE	END
VIC1688	Vicen_1688	Vicentini, A.	1688	Santamaria, M.	INPA; MO	4	8	2000	Pagamea  duckei Standl.    	Pagamea duckei Standl.	Pagamea	duckei	duckei	Vicentini, A.	8	2000				Duckei		VIC1687	Campinarana baixa (5-10 m), com Humiria, Ouratea, Adiscanthus, Aldina, e areas exposta com Cladonia. Lençol freático sempre subterrâneo.	arenoso	Tree		6.4	Fruit	ca. 15 troncos, alguns isolados, alguns em moita, todos < 6 cm diâmetro, formando grupo de ca. 6 m de diâmetro. Copa em candelabro. Folhas buladas e esbranquiçadas na face inferior (Pêlos brancos). FR - cúpula vermelha com sépalas persistentes, bagaverde. Poucos indivíduos com frutos na população, nenhum com flores ou botões.	67		-2.6683333333	-60.0461111111	GPS	Brasil	Amazonas	Manaus	BR-174 Manaus-Caracaraí	BR-174, margem esquerda da estrada, atrás de antiga área de extração de areia	endofline
VIC1683	Vicen_1683	Vicentini, A.	1683		INPA; MO	31	7	2000	Pagamea  coriacea Spruce ex Benth.    	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Vicentini, A.	7	2000				Coriacea		VIC1683	Campina aberta alterada de áreia branca (5-6 m de dossel, árvores esparsas ou em moitas), sobre restinga arenosa na margem do Rio com dunas, continuo de floresta de igapó. Humiria, Ouratea, Alchornea, Mezilaurus itauba, Matayba (?), Anacardium.	arenoso	Tree	15	3	Flower	Tronco torcido, fissurado (crista ca. 1 cm, fissura em v, ca 1 cm x 5 mm prof., crista plana). FL - pétalas brancas, relfexas com pêlos internamente. Estames > que o estilete, exertos, estilete alcançando o ápice do tubo. Levementeperfumadas (ca. 11 horas a.m.). Poucas flores abertas/inflorescência  e poucas inflorescências maduras na planta.	34		-3.0344444444	-60.5461111111	GPS	Brasil	Amazonas	Manaus	Praia Grande	Praia Grande, margem direita do rio Negro, SW das ilhas de Anavilhanas.	endofline
VIC1652	Vicen_1652	Vicentini, A.	1652		INPA; MO	25	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis		VIC1675	Campinarana arbórea baixa (ca. 6-10 m de dossel), subbosque denso, sobre areia escura (enegrecida).	Solo arenoso cinza escuro.	Tree	2	2	Fruit	Copa rala com ramos plagio-orthotrópicos (cf. Terminalia). FR - verdes e disformes (galhados).	578		-12.9788888889	-60.0130555556	GPS	Brasil	Mato Grosso	Comodoro	rio 12 de Outubro	Padronal. Balneário do Rio 12 de Outubro, ca. 80 km N de Comodoro.	endofline
VIC1675	Vicen_1675	Vicentini, A.	1675		MO	26	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis		VIC1675	Tabuleiro arenoso, campina aberta.	arenoso cinza escuro.	Shrub	1	1	Estéril	Planta rara nesse local, apenas dois indivíduos encontrados. Estéril.	367		-12.3905555556	-60.6202777778	GPS	Brasil	Rondônia	Vilhena	BR-364	BR Vilhena-Porto Velho, margem esquerda da estrada, ca. 30 km de Vilhena.	endofline
SIL4193	Silva_4193	Silva, M.G.	4193	Pinheiro, A.	NY	7	1	1979	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Silva, M.G.	 	 				Guianensis		VIC1671	Capoeira fina de terra firme	arenoso	Tree		4	Flower	Flor branca.	600		-12.7166666667	-60.1166666667	GNDB - Vilhena	Brasil	Rondônia	Vilhena		Fundos da cidade	endofline
VIC1645	Vicen_1645	Vicentini, A.	1645		INPA; MO	24	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis		VIC1645	Campinarana baixa (5-15 m o dossel), subbosque denso, solo de areia marrom, algumas áreas abertas com Cladonia.	Solo arenoso com espessa camada de serrapilheira e raízes.	Tree	2	4	Fruit	 (bifurcada). Interior da campina baixa onde é muito abundante. FR - quase maduros, verde-enegrecidos.	620		-13.6402777778	-59.7997222222	GPS	Brasil	Mato Grosso	Comodoro	Chapada dos Parecis	Chapada dos Parecis, estrada BR-364,  ca. 1-2 km N de Comodoro, área atrás lancheria da margem esquerda da estrada. entre Pontes e Lacerda e Comodoro,	endofline
VIC1636	Vicen_1636	Vicentini, A.	1636		HUEFS; INPA; MO	4	7	2000	Pagamea  plicata Spruce ex Benth. var. glabrescens Benth. 	Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	7	2000				Plicata		VIC1633	Vegetação baixa (2-3 m de dossel)  em solo de areia branca, margeando riacho, que corre sobre lajedo de arenito. Área com Humiria, Bonnettia, Lagenocarpus, Emmotum, etc.	Podzol hidromófico	Shrub	3	2	Bud	Formando moita de 4 m de diâmetro. INFL - velhas e secas e inflorescências jovens começando a desenvolver (poucas na planta). Folhas esbranquiçada na face inferior, indumento desprendendo com facilidadee deixando os dedos brancos.	979		-13.0075	-41.39	GPS	Brasil	Bahia	Mucugê	Estrada Mucugê-Barra da Estiva	Estrada Mucugê-Barra da Estiva, ca. 3 km saindo de Mucugê, do lado esquerdo da estrada.	endofline
VIC1632	Vicen_1632	Vicentini, A.	1632		HUEFS; INPA; MO	4	7	2000	Pagamea  plicata Spruce ex Benth. var. glabrescens Benth. 	Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	7	2000				Plicata		VIC1632	Vegetação baixa (2-3 m de dossel)  em solo de areia branca, margeando riacho, que corre sobre lajedo de arenito. Área com Humiria, Bonnettia, Lagenocarpus, Emmotum, etc.	Podzol hidromófico	Small tree		3.5	Flower	Com mais de 20 troncos, ca. 4 m de altura x < 5 cm DAP. Ritidoma cinza e fissurado, ca. 2 m acima do leito do riacho.	982		-13.0097222222	-41.3936111111	GPS	Brasil	Bahia	Mucugê	Estrada Mucugê-Barra da Estiva	Estrada Mucugê-Barra da Estiva, ca. 3 km saindo de Mucugê, do lado esquerdo da estrada.	endofline
VIC1595	Vicen_1595	Vicentini, A.	1595		HUEFS; INPA; MO	1	7	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	7	2000				Harleyi		VIC1595	Restinga arbórea baixa (dossel ca. 8 m), com Clusia e Humiria e mangaba, com áreas abertas, herbáceas e encharcadas. Solo arenoso hidromórfico.	Podzol hidromófico	Tree	3	2	Flower	Ramificando rente ao solo. Planta com muitas flores, visitadas por mariposa, borboleta com manchas verdes na asa e moscas (fotos), vespas amarelas. FL - brancas com pêlos na face interna, cálice verde e pedúnculoda inflorescência verde.	48		-16.4	-39.0586111111	GPS	Brasil	Bahia	Porto Seguro	Estrada Santa Cruz – Porto Seguro	Ramal a esquerda no km 3 da estrada Porto Seguro-Cabrália, subindo o tabuleiro arenoso, ca. 3 km W, loteamento de condomínios.	endofline
VIC1567	Vicen_1567	Vicentini, A.	1567	Amorin, A.; Fabrizio; Bestetti, C.	MO	30	6	2000	Pagamea  sp. nov. bahia     	Pagamea sp. nov. Bahia	Pagamea	sp. nov. bahiana	sp.C	Vicentini, A.	6	2000				Harleyi		VIC1567	Tabuleiro arenoso, parte alta, borda do tabuleiro, alto da vertente que culmina na planície litorânea. Restinga arbórea aberta, dossel ca. 5-6 m, com árvores grossas, incluso Pagamea, com encraves esparsos de áreas de solo exposto, areia branca.		Small tree	6	2.5	Fruit	Tronco tortuoso. INFR - Pedúnculo, cálice e frutos verde amarelados.	66		-14.9541666667	-39.0105555556	GPS	Brasil	Bahia	Ilhéus	Estrada Olivença-Una	Olivença. Estrada de terra Olivença-Vila Brasil, ca. 1 km SW de Olivença, topo da vertente, margem esquerda da estrada.	endofline
THO8930	Thoma_8930	Thomas, W.W.	8930		CEPEC; MO; NY	29	1	1992	Pagamea  sp. nov. bahia     	Pagamea sp. nov. Bahia	Pagamea	sp. nov. bahiana	sp.C	Vicentini, A.	9	2000	NY P. harleyi Steyerm.  det by Boom, B. 1992	Parece híbrido entre P. harleyi e P. guianensis [Vicentini, A. 06/2000 at CEPEC]		Harleyi		VIC1560	Open restinga and restinga forest					Fruit		1		-14.9833333333	-39.05	LABEL	Brasil	Bahia	Ilhéus	Estrada Olivença-Una	Olivença. Along road from Olivença to Maruim. 5.4 km SW of Olivença.	endofline
VIC1553	Vicen_1553	Vicentini, A.	1553		MO	28	6	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	6	2000				Harleyi		VIC1553	Restinga gramíneo-lenhosa de tabuleiro arenoso, solo arenoso (podzól hidromórfico).		Shrub		2	Estéril	Em área aberta com Cladonia e bromélias terrestres, sob Humiria balsamifera. 2 m de altura x < 2 cm DAP.  Estéril.	78		-15.5558333333	-39.0761111111	GPS	Brasil	Bahia	Canavieiras	Poxim do Sul	Poxim do Sul. Santa Luzia-Canavieiras.	endofline
STE59769	Steye_59769	Steyermark, J.A.	59769		NY; US	2	11	1944	Pagamea  standleyana Steyerm.    	Pagamea pauciflora Standl. & Steyerm.	Pagamea	pauciflora	pauciflora	Vicentini, A.	2	2002	Paratype of P. pauciflora Standl. & Steyerm. [Steyerm. 1963]			Thyrsiflora		STE59769	Bonnetia roraimae forest		Shrub		1.2	Flower	Leaves coriaceous, subrevolute, rich green above, silvery green below; corolla greenish with whitish lobes within; rachis and calyx and young stems dull rose.	2100	2000-2200 m	5.7666666667	-61.7666666667	GNDB - Ptari	Venezuela	Bolívar	Gran Sabana	Ptari-tepui	Ptari-tepuí, on southwest-facing shoulder	endofline
MCD29722	McDan_29722	McDaniel, S.	29722		MO; NY; US	11	12	1987	Pagamea  coriacea Spruce ex Benth. var. peru  	Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	5	2002	Pagamea coriacea Benth [McDaniel 1988]			Plicata		ORT260	upland rainforest					Fruit		150		-3.8727777778	-73.2544444444	MAP	Peru	Loreto - Maynas	Iquitos	Carretera Iquitos-Nauta	Iquitos-Nauta km 7.5	endofline
ORT260	Ortiz_260	Ortiz, R.G.	260		MO	 	 	 		Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	10	2006				Plicata		ORT260			Tree		6.4			180		-3.9533333333	-73.4213888889	OTHER LABEL FROM SAME SITE	Peru	Loreto - Maynas	Iquitos			endofline
ROD4877	Rodri_4877	Rodrigues, W.A.	4877	Coêlho, D.	INPA; US	25	6	1962	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Kirkbride Jr., J.H.	 	1978	P.guianensis Aubl. [Kirkbride, J.H. 1978]			Guianensis		OLI3719	Campina		Shrub		2	Flower	Terreno úmido e arenoso. Flores brancas. 3 m. comum no local.	36.5		-2.8275	-60.5091666667	GNDB - Cuieras, Rio	Brasil	Amazonas	Manaus	rio Cuieiras	Rio Cuieras, Igarapé da Cachoeira	endofline
MON691	Monsa_691	Monsalve, M.B.	691		COL; JAUM; MO	21	2	1985	Pagamea  sp. nov. choco     	Pagamea sp. nov. Choco	Pagamea	sp. nov. Choco	sp.B	Vicentini, A.	10	2006	P. guianensis Aubl. [Taylor, C.M. 1994]			Oblonga		MON691	Bosque Pluvial Tropical	Suelos deficientes en nutrientes principlamente en P, Ca, K, Mg, Cu, B, Mn, Zn y un alto porcentaje de saturaciõn de Al.	Tree		12	Fruit	Inflorescencia axilar, raquiz rojo, fruto verde 1 semilla	100		3.9166666667	-77	LABEL	Colombia	Valle del Cauca	Buenaventura	Bajo Calima	Bajo Calima. Concesión Pulpapel/Buenaventura.	endofline
CAR1050	Cardi_1050	Cardiel, J.M.	1050		COL; MO	7	12	1990	Pagamea  thyrsiflora Spruce ex Benth.    	Pagamea thyrsiflora Spruce	Pagamea	thyrsiflora	thyrsiflora	Taylor, C.M.	 	1999		veins are hard to see		Thyrsiflora		MEN9439			Shrub		3	Flower	Envés foliar verde claro.  Corola blanca	525		0.1166666667	-72.8333333333	LABEL	Colombia	Caquetá	Solano	Chiribiquete	Sierra de Chiribiquete	endofline
MEN9439	Mendo_9439	Mendoza, H.	9439	A. Escobar; S. Medina; M. Leptuama	FMB	15	11	2000	Pagamea 	Pagamea thyrsiflora Spruce	Pagamea	thyrsiflora	thyrsiflora	Vicentini, A.	10	2006				Thyrsiflora		MEN9439	Varizal cerca de tepui		Shrub		0.5			350		0.5083333333	-72.6297222222		Colombia	Caquetá	Solano	Chiribiquete	PNN Chiribiquete. Cuenca media del Río Cuñare	endofline
MEN9438	Mendo_9438	Mendoza, H.	9438	A. Escobar; S. Medina; M. Leptuama	FMB	15	11	2000	Pagamea coriacea	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	H. Mendoza	 	2001				Coriacea		MEN9438	Varizal cerca de tepui		Shrub		3.5			350		0.5291666667	-72.6291666667		Colombia	Caquetá	Solano	Chiribiquete	PNN Chiribiquete. Cuenca media del Río Cuñare	endofline
EST640	Estra_640	Estrada, J.	640	Franco, P.; Fuertes, P.; Palacios, P.	BM; COL; MO	1	12	1990	Pagamea  coriacea Spruce ex Benth.    	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Taylor, C.M.	 	1993				Coriacea		MEN9438	Bosque junto al rio		Tree		4.5	Flower	Pedúnculos rojizos, flores	300		0.9166666667	-72.75	LABEL	Colombia	Caquetá	Solano		Sierra de Chiribiquete. Campamento Sur. Margen izquierda del rio, aguas arriba de la cascada grande	endofline
MEN15692	Mendo_15692	Mendoza, H.	15692	A. Robles	FMB	1	2	2004	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	H. Mendoza	 	2005				Guianensis		MEN15692	Sabana ondulada al lado de mata de monte							200		4.29282	-67.95		Colombia	Vichada	Santa Rita	PNN El Tuparro	PNN El Tuparro Sobre la margen izquierda aguas arriba del río Tomo, a 24 km de la confluencia de éste con el río Orinoco (a 20,5 km del ‘puerto’ del parque).	endofline
LOU48420	Loure_48420INPA	Loureiro, A.	48420INPA	Coelho, D.; Mello, F.; Monteiro, O.; Lima, J.; Moreira, H.	INPA; US	4	4	1975	Pagamea  puberula     	Pagamea puberula Steyerm.	Pagamea	puberula	puberula	Vicentini, A.	5	2002	P. guianensis Aubl. [Kirkbride Jr., J.H. 1978]			Macrophylla		LOU48420	Terra Firme	argiloso	Shrub		0.4	Fruit	Frutos verdes.	34		-3.12	-60.02	MAP	Brasil	Amazonas	Manaus	AM-10 Manaus-Itacoatiara	Estrada Torquato Tapajós km 183 (Manaus-Caracaraí?), próximo ao igarapé do Péreu.	endofline
KIR2909	Kirkb_2909	Kirkbride, J.H. Jr.	2909	Lleras, E.	F; INPA; MO; NY; US	19	2	1977	Pagamea  capitata Benth.    	Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	10	2001		Lamina below smooth not papillose as in P.thyrsiflora. Fruits have same colors as the harleyi clade		Capitata		KIR2909	campina	white sand	Shrub		3	Fruit	Det as P. guianensis Aubl. by Kirkbride, Jr. in 1977.	400		-9.6666666667	-54.9	MAP	Brasil	Mato Grosso	Guarantã do Norte	Serra do Cachimbo	Serrado Cachimbo, BR-163, km 856	endofline
VIC2193	Vicen_2193	Vicentini, A.	2193	Zarate, R.; Amasifuen, C.A.G.; Amasifuen, C.A.G.	AMAZ; HUT; INPA; MO; USM	5	3	2004	peruviana	Pagamea peruviana	Pagamea	sp. nov. peruviana	sp.F	Vicentini, A.	3	2004		Syntópica com Pagamea plicataII e P. guianensis		Peruviana		FINJ262	Varillal seco e alto (20-25 m dossel)	areia-branca com tapete de raizes	Tree	25	12	Fruit	Frutos verdes, infrutescência vermelha. Ritidoma  fissurado. Casca interna bege-claro, alburno amarelo-ouro. Não exsuda seiva. Espécie rara no local.	127		-3.9144444444	-73.4041666667	GPS	Peru	Loreto - Maynas	Iquitos	Carretera Iquitos-Nauta	Carretera Iquitos-Nauta, km 22, Camino para Llanchama, ca. 2.5 km de la carretera	endofline
FINJ262	Fine,_J262	Fine, P.	J262		INPA	 	 	 		Pagamea peruviana	Pagamea	sp. nov. peruviana	sp.F	Vicentini, A.	10	2006				Peruviana		FINJ262								115		-3.8833333333	-73.5		Peru	Loreto - Maynas	Iquitos	Allpahuayo	Allpahuayo. Estacion Experimental del IIAP.	endofline
LOH165	Lohma_165	Lohmann, L.G.	165	Peckham, H.	MO	26	6	1998	Pagamea  capitata Benth.    	Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	5	2001	P. guianensis Aubl. (Taylor, C.M. 1999)	capitta has also this very acute almost  acuminate leaf apex 		Capitata		EVA3253	Savanah-like vegetation	sandy soil	Shrub		1.5	Fruit	Fruits reddish-yellow.	312.75		3.9072222222	-56.2125	LABEL	Suriname	Sipaliwini	Coppename	Tafelberg	Tafelberg. East creek branch of Lisa creek.	endofline
DAV1134	Dávil_1134	Dávila, Nállarett	1134	Foster, R.; Fine, P.; Vriesendorp, C.; Nesones	AMAZ; F	31	10	2004		Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	10	2006				Plicata		DAV1134	Bosque tipo varillal, 10 m de alto	arena?	Tree		6.4	Bud	Botones color verde	140		-6.4380083333	-74.2675916667	LABEL	Peru	Loreto - Requena	Alto Tapiche	rio Blanco	Margen derecha del Rio Blanco. Inventário Rápido Matsés	endofline
DAV1094	Dávil_1094	Dávila, Nállarett	1094	Foster, R.; Fine, P.; Vriesendorp, C.; Nesones	AMAZ; F	30	10	2004		Pagamea acrensis Steyerm.	Pagamea	acrensis	acrensis	Vicentini, A.	10	2006				Acrensis		DAV1094	Bosque tipo varillal, 10 m de alto	arena?	Tree		6.4	Bud	Botones color verde	140		-6.4380083333	-74.2675916667	LABEL	Peru	Loreto - Requena	Alto Tapiche	rio Blanco	Margen derecha del Rio Blanco. Inventário Rápido Matsés	endofline
DAL10625	Daly,_10625	Daly, D.C.	10625	Salimon, C.I.; Rivero, I.; Oliveria, E.C.	MO; NY	12	12	2000		Pagamea acrensis Steyerm.	Pagamea	acrensis	acrensis	Vicentini, A.	8	2004		inflorescence too imature		Acrensis		DAV1094	Campina. Large area of dense shrubs, most 2 m tall, with scattered trees to 5 m	white sand overlain by a thick layer of roots and undecomposed litter	Shrub		2.5	Flower-old	Buds only. Occasional	200		-7.4355555556	-72.9691666667	LABEL	Brasil	Amazonas	Guajará	BR-307	Río Juruá, BR-307, unfinished road near intersection with Ramal Pentecoste	endofline
PRA5831	Pranc_5831	Prance, G.T.	5831	Forero, E.; Coelho, L.F.; Ramos, J.F.; Farias, L.G.	COL; F; INPA; NY; P	10	7	1968	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Steyermark, A.	 	1969				Guianensis		CON04	Savanna forest on periodically flooded ground.		Tree		2	Fruit	Calyx red, flowers green.	112.25		-9.7	-65.3833333333	GNDB - Abuna	Bolivia	Pando	Federico Román	Abunã	Nueva Esperanza. Km 216-219 Madeira-Mamoré railroad near Abunã.	endofline
COH04	Cohn-_04	Cohn-Haft, M.	4		MO	 	 	 		Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	10	2006				Guianensis		CON04								 		-9.61	-64.95		Brasil	Rondônia	Porto Velho	Mutum Parana	Mutum Parana. Furnas P-13	endofline
COH03	Cohn-_03	Cohn-Haft, M.	3		MO	 	 	 		Pagamea thyrsiflora Spruce	Pagamea	thyrsiflora	thyrsiflora	Vicentini, A.	10	2006				Thyrsiflora		CON03								 		-9.5820666667	-64.9958333333	map to campina close to madeira	Brasil	Rondônia	Porto Velho	Mutum Parana	Mutum Parana. Furnas P-13	endofline
CID9735	Cid  _9735	Cid  Ferreira, C.A.	9735		INPA; MO; NY	4	12	1987	Pagamea  puberula Steyerm.    	Pagamea puberula Steyerm.	Pagamea	puberula	puberula	Vicentini, A.	5	2002	P.guianensis Aubl.			Macrophylla		CID9735	Campina aberta	areno pedregoso	Shrub		3	Fruit	Frutos com cálice vermelho imaturos verdes.	269.33333333		-1.1666666667	-55.5833333333	LABEL	Brasil	Pará	Óbidos	Campos do Ariramba	91 km de Oriximiná nos Campos de Ariramba, entre os rio Jaramacaru e Igarapé Mutum	endofline
DALD799	Daly,_D799	Daly, D.C.	D799	Campbell, D.G.; Silva, A.S.; Silva, M.G. da; Bahia, R.P.; Santos, M. dos	F; IBGE; INPA; MO; NY	1	11	1980	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	10	2006				Guianensis		CID12140	Campina	White-sand	Tree		4	Flower	Buds green. Corolla green without, white-pubescent within.	7.5		-1.5666666667	-48.3833333333	LABEL	Brasil	Pará	Acará	Campina do Guajará	Guajara-Miri. 10 km inland from Boa Vista, rio Guamá. S of Belém.	endofline
CID12140	Cid  _12140	Cid  Ferreira, C.A.	12140		INPA	 	 	 		Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	10	2006		cid sn5		Guianensis		CID12140								1		-1.5169444444	-48.3866666667		Brasil	Pará	Acará	Campina do Guajará	Guajara-Miri. guama	endofline
SOB4713	Sobel_4713	Sobel, G.L.	4713	Strudwick, J.; Silva, M.G.; Rosario, C.S.; Baia, R.P.; Vasconcelos, P.S.; Anderson, A.B.	F; MO; NY	19	10	1984	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Boom, B.	 	1988				Guianensis		CID12026	Campo, edge in secondary vegetation		Tree		4	Flower	Flower buds white.	3		-1.3636111111	-49.7272222222	MAP	Brasil	Pará	São Sebastião da Boa Vista	Rio Pracuuba-mirim	Campina on river Pracuubamirím, 1 hour by boat upstream form São Sebastião da Boa Vista. Open savanna (campo cerrado)	endofline
PIR52060	Pires_52060	Pires, J.M.	52060	Cavalcante, P.B.	NY	10	7	1962	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Steyermark, A.	 	1964				Guianensis		CID11648	Capoeira		Shrub		3	Fruit	Fruit green, immature, peduncle reddish. Rare.	28.25		0.0116666667	-51.4	MAP	Brasil	Amapá	Santana	Igarape do Lago	Igarape do Lago. Road to Amapá, km 48	endofline
CAR02	Carva_02	Carvalho, R. de	2		INPA	 	 	 		Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	10	2006				Capitata		CAR02								50		-3.81	-57.61		Brasil	Amazonas	Maués	Osorio da Fonseca	Osorio da Fonseca. 	endofline
BER6560	Berry_6560	Berry, P.E.	6560	Picón, G.; Loquvam, J.	MO	14	11	1997	Pagamea  capitata Benth.    	Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	10	2006				Capitata		BER6560	mixture of savanna, shrubland, and gallery forest	white-sand	Shrub		1.5	Flower; Fruit	flowers white, fruits green-purple	1350	1300-1400	5.8666666667	-61.4833333333	LABEL	Venezuela	Bolívar	Gran Sabana	Luepa	1-3 km NW of Luepa along unpaved road to Minicentral La Ciudadela.	endofline
MAG30873	Magui_30873	Maguire, B.	30873	Cowan, R.S.; Wurdack, J.L.	NY; UNB; VEN	13	1	1951	Pagamea  anisophylla Standl. & Steyerm.    	Pagamea anisophylla Standl. & Steyerm.	Pagamea	anisophylla	anisophylla	Steyermark, A.	 	1963				Macrophylla		AYM12268			Shrub		3	Fruit	Buds white; fruiting calyx red; fruit green. Frequent.	100	300-800 m.s.n.m.	4.7455555556	-66.2908333333	MAP - Cerro Moriche 	Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, Rio Ventuari. On east slopes.	endofline
AYM12268	Aymar_12268	Aymard, G.	12268	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	INPA	21	3	2002	Pagamea  anisophylla    	Pagamea anisophylla Standl. & Steyerm.	Pagamea	anisophylla	anisophylla	Vicentini, A.	10	2006				Macrophylla		AYM12268	Mosaico de bana, sabana y bosque bajo, en bosque abierto con Platycarpum	bloques de arenisca y arena-blanca	Shrub		2	Flower	Botones cremes (fotos)  Especie ausente en la sabana inundáble   	132		4.7283333333	-66.3419444444	GPS	Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, base de la vertiente Sudeste	endofline
MAG30982	Magui_30982	Maguire, B.	30982	Cowan, R.S.; Wurdack, J.J.	NY; VEN	17	1	1951	Pagamea  coriacea Spruce ex Benth.    	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Steyermark, A.	 	1969				Coriacea		AYM12249	Sabanita		Small tree		2	Flower-old	Flowers greenish-white. Occasional.	150		4.7636111111	-66.3636111111	MAP - Cerro Moriche 	Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, Rio Ventuari. At northwest base of mountain.	endofline
AYM12249	Aymar_12249	Aymard, G.	12249	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	INPA	20	3	2002	Pagamea  coriacea Spruce ex Benth.   	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Vicentini, A.	10	2006				Coriacea		AYM12249	Bosque de galeria con Mauritia 	arena-blanca	Tree	8	4.5	Fruit	Frutos verdes   	114		4.7491666667	-66.4019444444	GPS	Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, base de la vertiente Norte	endofline
MAG30953	Magui_30953	Maguire, B.	30953	Cowan, R.S.; Wurdack, J.J.	NY; VEN	15	1	1951	Pagamea  thyrsiflora Spruce ex Benth.    	Pagamea thyrsiflora Spruce	Pagamea	thyrsiflora	thyrsiflora	Steyermark, A.	 	1963				Thyrsiflora		AYM12248			Shrub		2.5	Fruit	Frequent. Fruit turning brown-purple.	1000		4.7455555556	-66.2930555556		Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, rio Ventuari, On east slope.	endofline
AYM12248	Aymar_12248	Aymard, G.	12248	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	INPA	20	3	2002	Pagamea  thyrsiflora    	Pagamea thyrsiflora Spruce	Pagamea	thyrsiflora	thyrsiflora	Vicentini, A.	10	2006				Thyrsiflora		AYM12248	Sotobosque de bosque bajo de vertiente con Humiria, Pradosia, Chaunochiton, Sapium (?), Qualea	bloques de arenisca , con un manto orgánico entre las piedras	Small tree	4	3	Flower-old	Frutos y flores viejos. Hojas con domaceas  	171		4.7491666667	-66.3777777778	GPS	Venezuela	Amazonas	D. Atures	Cerro Moriche	Cerro Moriche, vertiente Norte	endofline
AYM12235	Aymar_12235	Aymard, G.	12235	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	MO; PORT	16	3	2002	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	10	2006				Oblonga		AYM12235	Bana alta (5-6 m) y densa con Leopoldinia, Tachigalia, Vochysia, Roupala, Pagamea	arena-blanca	Tree	8	8	Fruit	Frutos verdes-negro; pedúnculo de la infrutescencia  y cálice rojos.  Casa fissurada. 	120		4.0794444444	-66.6427777778	GPS	Venezuela	Amazonas	D. Atabapo	Isla Caymán	Rio Ventuari, ca. 5 km de la márgen isquierda, por camino atráz de la casa del Capitán Virgílio Valor (Maco), en frente a la Isla Caymán	endofline
